AF_left;AF_right;ATR_left;ATR_right;CA;CC_1;CC_2;CC_3;CC_4;CC_5;CC_6;CC_7;CG_left;CG_right;CST_left;CST_right;MLF_left;MLF_right;FPT_left;FPT_right;FX_left;FX_right;ICP_left;ICP_right;IFO_left;IFO_right;ILF_left;ILF_right;MCP;OR_left;OR_right;POPT_left;POPT_right;SCP_left;SCP_right;SLF_I_left;SLF_I_right;SLF_II_left;SLF_II_right;SLF_III_left;SLF_III_right;STR_left;STR_right;UF_left;UF_right;CC;T_PREF_left;T_PREF_right;T_PREM_left;T_PREM_right;T_PREC_left;T_PREC_right;T_POSTC_left;T_POSTC_right;T_PAR_left;T_PAR_right;T_OCC_left;T_OCC_right;ST_FO_left;ST_FO_right;ST_PREF_left;ST_PREF_right;ST_PREM_left;ST_PREM_right;ST_PREC_left;ST_PREC_right;ST_POSTC_left;ST_POSTC_right;ST_PAR_left;ST_PAR_right;ST_OCC_left;ST_OCC_right
1.918053925037384033e-01;1.539989560842514038e-01;1.799465268850326538e-01;1.307394355535507202e-01;2.631554603576660156e-01;1.754395812749862671e-01;1.567227393388748169e-01;1.836971193552017212e-01;2.546038329601287842e-01;1.958714723587036133e-01;1.548671126365661621e-01;1.878481358289718628e-01;1.845368146896362305e-01;2.257909029722213745e-01;2.244370132684707642e-01;2.309910207986831665e-01;2.337915599346160889e-01;1.606466174125671387e-01;1.765154302120208740e-01;2.294126003980636597e-01;2.416678071022033691e-01;1.081210002303123474e-01;1.771471649408340454e-01;2.915170490741729736e-01;1.935372054576873779e-01;1.657656580209732056e-01;2.424860149621963501e-01;2.198823094367980957e-01;3.035273849964141846e-01;1.612528413534164429e-01;1.802321374416351318e-01;1.825633198022842407e-01;2.117832303047180176e-01;2.596559822559356689e-01;2.384913563728332520e-01;2.125250548124313354e-01;1.874331831932067871e-01;1.735476702451705933e-01;1.782568395137786865e-01;1.457371562719345093e-01;1.429746299982070923e-01;1.896804869174957275e-01;1.927116364240646362e-01;1.803005039691925049e-01;1.534783989191055298e-01;1.488454937934875488e-01;2.283207774162292480e-01;1.572601646184921265e-01;2.007386982440948486e-01;1.543017923831939697e-01;1.984263658523559570e-01;1.957851499319076538e-01;2.949028909206390381e-01;1.492851525545120239e-01;1.507840901613235474e-01;1.694316715002059937e-01;1.365486532449722290e-01;1.536465436220169067e-01;1.445670127868652344e-01;1.569641083478927612e-01;2.776287198066711426e-01;2.270077913999557495e-01;1.845252066850662231e-01;1.768762767314910889e-01;2.627969980239868164e-01;3.048147559165954590e-01;2.913349568843841553e-01;2.875640988349914551e-01;3.211470246315002441e-01;1.571467965841293335e-01;4.186559021472930908e-01;1.608261764049530029e-01
2.672442793846130371e-01;2.446226477622985840e-01;2.747350335121154785e-01;1.830822378396987915e-01;2.905814647674560547e-01;2.218651771545410156e-01;2.484588623046875000e-01;2.750953435897827148e-01;3.087300360202789307e-01;2.718727290630340576e-01;2.199508696794509888e-01;2.445360124111175537e-01;2.794282138347625732e-01;2.951928675174713135e-01;3.117550313472747803e-01;2.881288528442382812e-01;2.742635309696197510e-01;2.163262665271759033e-01;2.744568884372711182e-01;3.281686305999755859e-01;2.434069067239761353e-01;1.700971126556396484e-01;2.050095796585083008e-01;2.779352366924285889e-01;2.381599396467208862e-01;2.149892598390579224e-01;2.859877347946166992e-01;2.449616938829421997e-01;4.326331615447998047e-01;1.675712615251541138e-01;1.998592615127563477e-01;2.286816239356994629e-01;3.059954643249511719e-01;2.984321713447570801e-01;3.103881180286407471e-01;2.711807191371917725e-01;2.539554536342620850e-01;2.649724185466766357e-01;2.641139626502990723e-01;1.897883862257003784e-01;1.946213394403457642e-01;2.286412268877029419e-01;2.434418052434921265e-01;2.237824946641921997e-01;1.694228202104568481e-01;2.103320062160491943e-01;2.214606702327728271e-01;2.131396383047103882e-01;2.749529182910919189e-01;2.036826908588409424e-01;2.369023412466049194e-01;2.392406910657882690e-01;2.708693146705627441e-01;1.877732574939727783e-01;1.953957825899124146e-01;2.030982077121734619e-01;1.768049597740173340e-01;1.947878748178482056e-01;1.764284372329711914e-01;1.778670400381088257e-01;2.657414078712463379e-01;2.545230090618133545e-01;2.088412344455718994e-01;1.896197050809860229e-01;2.471962571144104004e-01;2.964225113391876221e-01;2.615460753440856934e-01;3.070631921291351318e-01;3.196421563625335693e-01;2.008275389671325684e-01;3.639218807220458984e-01;2.047104537487030029e-01
3.332282006740570068e-01;3.210211098194122314e-01;3.579092323780059814e-01;2.455579191446304321e-01;2.842904031276702881e-01;3.017368912696838379e-01;3.427805304527282715e-01;3.306182920932769775e-01;3.894100487232208252e-01;3.443788588047027588e-01;3.050025403499603271e-01;2.949921488761901855e-01;3.599057495594024658e-01;3.844160735607147217e-01;4.068379998207092285e-01;3.657778799533843994e-01;3.247561156749725342e-01;2.699303030967712402e-01;3.512915968894958496e-01;3.879458308219909668e-01;2.502647042274475098e-01;1.812051087617874146e-01;2.401917129755020142e-01;2.441320568323135376e-01;3.158172070980072021e-01;2.734763324260711670e-01;3.316912651062011719e-01;3.091706633567810059e-01;5.293182134628295898e-01;2.463254630565643311e-01;2.559670507907867432e-01;3.031207025051116943e-01;3.267681598663330078e-01;3.155989348888397217e-01;3.438757359981536865e-01;3.327052295207977295e-01;3.126400411128997803e-01;3.679496943950653076e-01;3.494750261306762695e-01;2.415558695793151855e-01;2.738579213619232178e-01;2.620142400264739990e-01;3.198741376399993896e-01;2.927745282649993896e-01;1.916056722402572632e-01;2.965943515300750732e-01;2.407650649547576904e-01;2.920161187648773193e-01;3.337233662605285645e-01;2.630615830421447754e-01;3.019885420799255371e-01;2.814313471317291260e-01;3.231666386127471924e-01;2.217221409082412720e-01;2.540457248687744141e-01;2.656966447830200195e-01;2.574694454669952393e-01;2.677020430564880371e-01;2.182801365852355957e-01;2.248994112014770508e-01;2.503298223018646240e-01;3.034160733222961426e-01;2.928216457366943359e-01;2.143991887569427490e-01;2.707017958164215088e-01;2.843799889087677002e-01;2.856656610965728760e-01;3.150907754898071289e-01;3.266962766647338867e-01;2.607614099979400635e-01;4.012352228164672852e-01;2.848158478736877441e-01
4.058713614940643311e-01;3.508232831954956055e-01;3.984781503677368164e-01;3.132788836956024170e-01;3.001778125762939453e-01;3.567360341548919678e-01;4.223696589469909668e-01;3.869413435459136963e-01;4.425192177295684814e-01;4.301654100418090820e-01;3.703326284885406494e-01;3.219355344772338867e-01;4.048385024070739746e-01;4.409975409507751465e-01;4.303754270076751709e-01;4.342089891433715820e-01;3.604240119457244873e-01;3.393222093582153320e-01;4.446164369583129883e-01;4.277006983757019043e-01;2.214710563421249390e-01;1.895424276590347290e-01;2.723611891269683838e-01;2.560282051563262939e-01;3.539055287837982178e-01;3.195627331733703613e-01;3.366205394268035889e-01;3.580887317657470703e-01;5.742799043655395508e-01;3.078350126743316650e-01;3.061241805553436279e-01;3.529735505580902100e-01;2.621494233608245850e-01;3.174441754817962646e-01;3.661914467811584473e-01;4.015191793441772461e-01;3.792223036289215088e-01;4.212733507156372070e-01;3.910426497459411621e-01;3.117982745170593262e-01;3.507940471172332764e-01;3.226661682128906250e-01;4.096898436546325684e-01;3.270564079284667969e-01;2.271539568901062012e-01;3.767531216144561768e-01;2.641646862030029297e-01;3.895630538463592529e-01;3.991092443466186523e-01;3.443597555160522461e-01;3.510414958000183105e-01;3.428524732589721680e-01;3.270211815834045410e-01;2.671245634555816650e-01;3.108529150485992432e-01;3.441680669784545898e-01;3.282967507839202881e-01;3.301923274993896484e-01;2.553783655166625977e-01;2.816330492496490479e-01;2.660443782806396484e-01;3.268717825412750244e-01;3.395621478557586670e-01;2.516366839408874512e-01;2.948731184005737305e-01;2.948599755764007568e-01;3.129074573516845703e-01;3.293349146842956543e-01;3.475804328918457031e-01;3.380122184753417969e-01;4.155677556991577148e-01;3.383260965347290039e-01
4.509695172309875488e-01;3.707362115383148193e-01;3.808121383190155029e-01;3.650906980037689209e-01;3.093882501125335693e-01;4.125730097293853760e-01;4.259304702281951904e-01;3.253987729549407959e-01;4.379118382930755615e-01;4.543780088424682617e-01;4.355782568454742432e-01;3.668615221977233887e-01;4.103150069713592529e-01;4.584839642047882080e-01;4.469067752361297607e-01;4.310202002525329590e-01;4.003459513187408447e-01;3.888445198535919189e-01;4.710242748260498047e-01;4.595706164836883545e-01;2.520497143268585205e-01;2.053360044956207275e-01;3.275100588798522949e-01;2.776957750320434570e-01;3.751319050788879395e-01;3.573649227619171143e-01;3.446131646633148193e-01;3.681693077087402344e-01;5.662186741828918457e-01;3.521339595317840576e-01;3.437120616436004639e-01;3.935985267162322998e-01;3.024788796901702881e-01;3.442611694335937500e-01;3.793683946132659912e-01;4.240117073059082031e-01;4.059787392616271973e-01;4.003255069255828857e-01;4.071808457374572754e-01;3.821581304073333740e-01;3.635447323322296143e-01;3.326911628246307373e-01;4.938018321990966797e-01;3.255754411220550537e-01;2.430461496114730835e-01;4.197813868522644043e-01;2.750807404518127441e-01;4.449221789836883545e-01;3.847334682941436768e-01;4.106153249740600586e-01;4.001230001449584961e-01;4.087551534175872803e-01;3.203155100345611572e-01;3.124979138374328613e-01;3.559918105602264404e-01;4.007623195648193359e-01;3.728730082511901855e-01;3.656516075134277344e-01;2.915271818637847900e-01;3.327366709709167480e-01;2.880087494850158691e-01;3.560520112514495850e-01;3.733141422271728516e-01;2.897545695304870605e-01;3.091472089290618896e-01;3.183191418647766113e-01;3.364838659763336182e-01;3.439606726169586182e-01;3.668931722640991211e-01;3.945964872837066650e-01;4.474567174911499023e-01;4.111442267894744873e-01
4.430773258209228516e-01;3.778714835643768311e-01;3.608563840389251709e-01;3.711528182029724121e-01;3.339886367321014404e-01;4.430026412010192871e-01;4.032541513442993164e-01;3.616717755794525146e-01;4.098285436630249023e-01;4.166651666164398193e-01;4.396001696586608887e-01;4.486186206340789795e-01;4.084623456001281738e-01;4.501456320285797119e-01;4.171653389930725098e-01;3.843915164470672607e-01;4.200067222118377686e-01;4.121974706649780273e-01;4.088803827762603760e-01;5.141444206237792969e-01;1.988840550184249878e-01;1.934554874897003174e-01;3.630744516849517822e-01;2.679021060466766357e-01;4.227635860443115234e-01;3.942362368106842041e-01;3.517683148384094238e-01;4.146215915679931641e-01;5.044304728507995605e-01;3.667198717594146729e-01;3.810395002365112305e-01;4.052797555923461914e-01;3.789613544940948486e-01;3.892422616481781006e-01;3.574820458889007568e-01;4.161194264888763428e-01;4.182896018028259277e-01;3.684134483337402344e-01;3.902744054794311523e-01;3.847139775753021240e-01;3.731810450553894043e-01;3.777769804000854492e-01;5.257219672203063965e-01;3.618500530719757080e-01;2.725396752357482910e-01;4.059859514236450195e-01;2.836789190769195557e-01;4.235323071479797363e-01;3.381097912788391113e-01;4.219674766063690186e-01;4.270183145999908447e-01;4.329511821269989014e-01;3.651303648948669434e-01;3.704756498336791992e-01;3.849040865898132324e-01;4.435191750526428223e-01;3.781367838382720947e-01;4.133383035659790039e-01;3.308430314064025879e-01;3.390046358108520508e-01;2.974298596382141113e-01;3.662245571613311768e-01;3.936513662338256836e-01;3.302722573280334473e-01;3.464318811893463135e-01;3.426018655300140381e-01;3.487154245376586914e-01;3.818231225013732910e-01;3.727752566337585449e-01;4.144016206264495850e-01;3.480672836303710938e-01;4.156618714332580566e-01
4.278757274150848389e-01;3.805487751960754395e-01;3.738018870353698730e-01;3.633749485015869141e-01;3.155277669429779053e-01;4.813499748706817627e-01;4.454462230205535889e-01;3.966491818428039551e-01;3.890036642551422119e-01;3.952656090259552002e-01;4.605411887168884277e-01;5.190767645835876465e-01;4.095733463764190674e-01;4.495272338390350342e-01;4.036720693111419678e-01;3.831557035446166992e-01;4.193719625473022461e-01;4.018613398075103760e-01;4.174331724643707275e-01;5.341967940330505371e-01;2.646757662296295166e-01;2.213073670864105225e-01;3.543432056903839111e-01;2.720401287078857422e-01;4.105394184589385986e-01;4.182333052158355713e-01;3.776552081108093262e-01;4.126951396465301514e-01;4.524098932743072510e-01;4.343542754650115967e-01;4.170269668102264404e-01;3.827760517597198486e-01;4.590708613395690918e-01;4.352142214775085449e-01;3.392251729965209961e-01;4.161654710769653320e-01;4.057635962963104248e-01;3.540628552436828613e-01;3.631496727466583252e-01;3.769790530204772949e-01;3.326136469841003418e-01;4.438346028327941895e-01;4.797879457473754883e-01;3.901205956935882568e-01;2.901330292224884033e-01;4.325454235076904297e-01;3.544856607913970947e-01;3.657064735889434814e-01;3.719996511936187744e-01;3.554747402667999268e-01;4.248991608619689941e-01;4.152935743331909180e-01;4.202555119991302490e-01;3.928753435611724854e-01;4.001120030879974365e-01;4.560340642929077148e-01;4.411880075931549072e-01;4.541963636875152588e-01;3.572553694248199463e-01;3.244447708129882812e-01;3.160835206508636475e-01;3.819005191326141357e-01;3.820688426494598389e-01;3.576232194900512695e-01;3.793412148952484131e-01;3.824876546859741211e-01;4.145952761173248291e-01;4.224968254566192627e-01;3.997160792350769043e-01;4.086091816425323486e-01;4.098397791385650635e-01;4.568697512149810791e-01
4.221028685569763184e-01;3.711524307727813721e-01;4.006199836730957031e-01;3.704299330711364746e-01;3.171807825565338135e-01;5.267872214317321777e-01;5.269564986228942871e-01;4.225585460662841797e-01;3.800367712974548340e-01;3.898875713348388672e-01;5.198237299919128418e-01;5.625327229499816895e-01;4.092263281345367432e-01;4.641629159450531006e-01;4.764989614486694336e-01;4.551773071289062500e-01;4.395564496517181396e-01;4.085238277912139893e-01;4.054432511329650879e-01;5.434468984603881836e-01;3.291694223880767822e-01;2.114409506320953369e-01;3.447934389114379883e-01;3.041757047176361084e-01;3.854955434799194336e-01;4.197432994842529297e-01;4.019028246402740479e-01;4.209996759891510010e-01;4.321182370185852051e-01;4.657843410968780518e-01;4.627562463283538818e-01;4.244010448455810547e-01;5.189392566680908203e-01;4.542238712310791016e-01;3.504447042942047119e-01;4.286027848720550537e-01;3.961134254932403564e-01;3.841844499111175537e-01;3.599655628204345703e-01;3.918634355068206787e-01;3.390249609947204590e-01;4.610197246074676514e-01;3.982234895229339600e-01;3.833144605159759521e-01;3.191735744476318359e-01;4.397833347320556641e-01;3.991226851940155029e-01;3.683820664882659912e-01;3.704240024089813232e-01;3.631086647510528564e-01;3.956021964550018311e-01;3.914628326892852783e-01;4.674525856971740723e-01;4.243880510330200195e-01;4.196366667747497559e-01;4.365895688533782959e-01;4.918098151683807373e-01;4.671241044998168945e-01;3.842748701572418213e-01;3.392159342765808105e-01;3.559238612651824951e-01;3.978820145130157471e-01;3.706687092781066895e-01;3.664262294769287109e-01;4.036032855510711670e-01;3.895337581634521484e-01;4.694295227527618408e-01;3.881365656852722168e-01;4.385693669319152832e-01;3.910489976406097412e-01;4.636833965778350830e-01;4.611507058143615723e-01
4.073581397533416748e-01;3.939183652400970459e-01;4.093976914882659912e-01;3.827302157878875732e-01;2.968947887420654297e-01;5.128976702690124512e-01;5.830040574073791504e-01;4.486900269985198975e-01;3.917370736598968506e-01;4.099426865577697754e-01;5.512768030166625977e-01;5.967288613319396973e-01;4.470058083534240723e-01;4.775716662406921387e-01;5.246747732162475586e-01;5.170727372169494629e-01;4.441319704055786133e-01;4.157604873180389404e-01;4.265196025371551514e-01;5.009058117866516113e-01;4.182930290699005127e-01;2.066868841648101807e-01;3.731455802917480469e-01;3.447661399841308594e-01;3.873285651206970215e-01;4.237630963325500488e-01;3.980945348739624023e-01;4.165991842746734619e-01;4.057988822460174561e-01;4.701525866985321045e-01;4.654199481010437012e-01;4.797037243843078613e-01;5.354730486869812012e-01;4.266386032104492188e-01;3.220977187156677246e-01;4.383633434772491455e-01;4.177624583244323730e-01;3.608448505401611328e-01;3.632811605930328369e-01;4.080091118812561035e-01;3.532893657684326172e-01;4.186279177665710449e-01;3.154872357845306396e-01;3.907804191112518311e-01;3.661245703697204590e-01;4.807406663894653320e-01;4.294162690639495850e-01;3.856962025165557861e-01;3.791570663452148438e-01;3.481664657592773438e-01;3.795751333236694336e-01;3.678629696369171143e-01;5.003650188446044922e-01;3.820095956325531006e-01;3.882720470428466797e-01;3.976128697395324707e-01;5.000094771385192871e-01;4.689731299877166748e-01;4.206432104110717773e-01;3.531826138496398926e-01;3.899669945240020752e-01;3.948146998882293701e-01;3.813355565071105957e-01;3.720829486846923828e-01;4.072867333889007568e-01;3.782551288604736328e-01;4.655666053295135498e-01;3.703931272029876709e-01;4.758298993110656738e-01;3.934608101844787598e-01;4.650358557701110840e-01;4.321904182434082031e-01
3.959929645061492920e-01;4.030715823173522949e-01;4.084128737449645996e-01;4.099475443363189697e-01;2.823517322540283203e-01;4.968950152397155762e-01;5.728480219841003418e-01;4.174580276012420654e-01;4.025887250900268555e-01;4.639641642570495605e-01;5.538158416748046875e-01;6.076369881629943848e-01;4.758999645709991455e-01;4.713954329490661621e-01;5.663819313049316406e-01;5.648360848426818848e-01;4.351815879344940186e-01;4.157243669033050537e-01;4.844648540019989014e-01;4.479650855064392090e-01;5.060862302780151367e-01;2.279023230075836182e-01;4.070524573326110840e-01;3.801462948322296143e-01;3.992781341075897217e-01;4.439834654331207275e-01;3.945470154285430908e-01;3.986028432846069336e-01;3.801687955856323242e-01;4.103634059429168701e-01;4.576048552989959717e-01;5.117384195327758789e-01;5.262293219566345215e-01;3.659261167049407959e-01;2.967648208141326904e-01;4.455567002296447754e-01;4.283263087272644043e-01;3.632547855377197266e-01;3.725245296955108643e-01;4.088714122772216797e-01;3.920792043209075928e-01;3.721187114715576172e-01;3.410148918628692627e-01;4.178026020526885986e-01;3.795936703681945801e-01;5.269769430160522461e-01;4.312800765037536621e-01;3.889215588569641113e-01;4.442079663276672363e-01;3.414667248725891113e-01;4.025354683399200439e-01;3.747453987598419189e-01;4.705939888954162598e-01;3.578788042068481445e-01;3.869357407093048096e-01;3.695906400680541992e-01;4.731039404869079590e-01;4.574711322784423828e-01;4.244567155838012695e-01;3.579260110855102539e-01;4.006747007369995117e-01;3.806016445159912109e-01;3.823806941509246826e-01;3.860568106174468994e-01;3.836824297904968262e-01;3.574381768703460693e-01;4.181429445743560791e-01;3.587805032730102539e-01;4.634002149105072021e-01;4.079899191856384277e-01;4.420482218265533447e-01;4.379800558090209961e-01
